city,location,text
miami,"Miami, Fl","RT @tim_cook: Here's to the #iPhone that changed the world, to the man who dreamed it &amp; the people at Apple who have never stoppe…"
atlanta,"Atlanta, GA",RT @AsToldByBrina: A visual representation of how you look holding onto an unhealthy relationship https://t.co/KYVjrbj2tk
dallas,"Dallas, TX",ALL MY DREAMS ARE COMING TRUE!!!!! ❤️❤️ https://t.co/HmBsjVW19L
seattle,"Seattle, WA","@EmilyBowie82
#RecklesslyMine99cents #RomanticSuspense #BookOne
https://t.co/RSan3pFMsr https://t.co/Hav10tOMi6"
chicago,"Chicago, IL",RT @_WorldStarNow: Women aren't loyal smh https://t.co/bElCOsSxeZ
chicago,"Chicago, Illinois","RT @mkraju: Dianne Feinstein tells us Trump's attacks against @morningmika are \"sexist,\" and beneath dignity of the presidency"
atlanta,Pittsburgher exiled to Atlanta,RT @PFF: No QB had more touchdowns on deep passes last year than Ben Roethlisberger https://t.co/OypfiqrVag
houston,"Houston, TX",RT @BankRollNoFresh: Story time y'all ready. 👀😊?
miami,"Miami,Fl",RT @britesquijarosa: #READTHIS: How each of these 5 highly-successful people overcame their quarter-life crisis - CNBC https://t.co/dgOkyWU…
houston,"New Orleans, LA✈️Houston, TX",RT @ZinabSherif: Just take it in .. https://t.co/6digF3emSk
atlanta,"Atlanta, NY, Beverly Hills",Video: Man spends 90 in jail for #Drywall police thought was cocaine https://t.co/YeA5gT26b1 #KarlosCashe #Oviedo #Possessionofcocaine
houston,"Houston, TX",I need a work out partner
houston,"Houston, TX","RT @Jonbinos: Y'all sleep on TJ Maxx, Ross, etc. You can find a $80 shirt for $20 in there. Gotta know how to shop"
chicago,"Chicago, IL","RT @tina_baines: You
create
your 
own
calm... https://t.co/dZVpM6O3pE"
houston,"Houston, TX",The journey to entrepreneurship ain't easy! I just want to take a second to give a HUGE THANKS… https://t.co/kBRcukYyed
miami,"Miami, FL",RT @SexualGif: I LOVE BEING KISSED LIKE THAT https://t.co/BOAEhvIi4q
los angeles,Los Angeles,"@chaykak nah you're great, man. i'm the disgruntled can't work in public weirdo"
chicago,"Chicago, IL","If you're looking for work in #Dolton, IL, check out this #job: https://t.co/1VXAwxEsv8 #SkilledTrade #Hiring"
houston,"Houston, TX","So, allllll the apetamin is sold out on every single website plus eBay 🤔"
houston,"Houston, Texas",RT @JoyAnnReid: Just heard this Octavia Butler quote for the first time and am now obsessed with it. https://t.co/2M4cVlGmFu
los angeles,"Los Angeles, CA","RT @sloom_sg: خديجة شينديل و بوراك سايشار أثناء وصولهما لحفل زفاف بوراك أوزتشيفيت و فهرية إفجين. 

#زواج_الفاهبور |…"
houston,"Houston, TX",RT @skyler_nitschke: My dad bought a snorkel for the sole purpose of taking naps in the pool https://t.co/OhVJNVbfvS
boston,Boston,ALL NIGHT 🍋
detroit,Detroit,( `_?´)(^u^) https://t.co/VxgnW4Hplt
los angeles,"Los Angeles, California",@benhardy @averagesecguy @tarah @secprofgreen enemy == customer
los angeles,"Los Angeles, CA","RT @SexualGif: When someone texts me \"wya?\" and I'm trying to decide if I'm at home or not. https://t.co/njunAT44dd"
new orleans,"EASTSIDE, New Orleans",I'm not the one to yell at. Ya girl is sensitive af
atlanta,"Atlanta, GA",@Mo_ses_ What's the problem with calling someone their sex 🤔🤔
detroit,"DVNET;  Metro Detroit, MI, USA",IndiGo Expresses Interest In Buying Air India https://t.co/jErSjpsNql #markets #economy
chicago,Chicago,"Lord Help Us, Furious Spoon Is Bringing Back All-You-Can-Eat Ramen https://t.co/wf4C1ydOk2"
los angeles,"Los Angeles, CA",RT @PeytonCarvell: We need more people like this. https://t.co/jT1WC364Lt
chicago,Chicago...,RT @JTeddyGarces: @sagaftra I stand by you.  #actorsunited
los angeles,"Los Angeles, CA",RT @HvrrisonLdn: Should get paid more than footballers https://t.co/CUzRXWcxKE
chicago,Chicago,RT @ShayyTorres_: Ppl alwys Got shit to say about the next! Its money out here for EVERYBODY. I could sell water 2 a whale. HUSTLE IS HUSTL…
seattle,"Seattle, USA","Did anyone get the iPhone Bluetooth Headset back in the day? Does it work with modern phones?
I always thought it l… https://t.co/p1Z0FUCtDf"
boston,"Boston, MA",RT @AdvisoryBd: Protecting your surgery business is imperative. Check out our 8 step guide to hit your critical targets:…
miami,"Miami,USA",Canciller Samuel Moncada: Realizamos un recorrido junto los Embajadores y observamos los daños causados a las insta… https://t.co/MpohJ3hPPY
new orleans,new orleans,"@realDonaldTrump So much for respecting Melania's first lady project, internet bullying. You show no respect for an… https://t.co/v3EiadI2xz"
los angeles,"Los Angeles, CA",RT @thataamaraal: O que você quiser eu quero em dobro https://t.co/Q5cTNT6Qbw
los angeles,Los Angeles California,"RT @realDonaldTrump: Today, the House votes on two crucial bills:
☑️#NoSanctuaryForCriminalsAct 
☑️#KatesLaw 
☑️Pass these bills &amp; lets…"
los angeles,"Los Angeles, CA","RT @NasMaraj: I'm still shook, the conjuring is a gem. https://t.co/ZjNiOyfzD7"
boston,"Boston, MA","RT @LegionWebsite: The Knicks offered Carmelo Anthony in a trade to the Clippers, which Doc Rivers declined. Chris Paul wasn't happy.

http…"
atlanta,"ATLANTA,GA from AMERICUS,GA",RT @ATYPIKALent: The @ATLHawks Draft Pass really is one of the more creative ticket promos I've seen. #TrueToAtlanta https://t.co/CK8zL6MQiZ
boston,"Jamaica Plain • Boston • Cambridge • Massachusetts, USA",a trip on the 15 bus in London https://t.co/4AQCuBL2d8
detroit,"Detroit, MI",RT @TheDukeNGS: So long and thanks for everything @Spencer_Glass21 https://t.co/gCfpo1Bmh7
chicago,"Chicago, IL",RT @TayWest: When ya girl go through your phone and don't find nothing https://t.co/Zyw8vgKRWS
miami,"South Miami Heights, FL",RT @SedanoESPN: Oh no https://t.co/XreO291lMb
boston,"Boston, MA",RT @_EmilyNorton: Thank you #10peopleonTwitter #NoBostonOlympics https://t.co/7JMJf4wmET @liamkerr @cdempc @NoBosOlympics
atlanta,"Atlanta, GA",RT @foreignshawwty: You can have all the money in the world and it will not matter. All that matters is how you treat people.
miami,"Miami, Florida","@MSNBC 
MSNBC=EVIL ANTI CHRIST🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸👹👹👹👹🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸"
atlanta,"Atlanta, GA","RT @ChrisMurphyCT: Many Republicans will condemn this tweet in strong moral terms. 

Then they will spend rest of day trying end insur…"
philadelphia,"Pennsylvania, Philadelphia","💯 @ Philadelphia, Pennsylvania https://t.co/McPfBvvvbi"
detroit,Invicta l 313 Detroit,RT @hoodratwizard: is this nigga alright? https://t.co/NvHJH6COBF
chicago,Chicago to Atl,"RT @TylaMJ: If my niggas says the earth is flat, that shit is flat (until we get home) https://t.co/7FdlhINZ82"
boston,"Boston, NY","RT @MarissaLauren__: ((( bro, stop making the mistakes. @ self. )))"
los angeles,"Los Angeles, CA",RT @SEHCoyle: @JeffSharlet Now that the NRA can't scare up gun sales by saying Obama will take your guns they want to use killing…
miami,Miami fl,@RainSaturday1 @GREEDmustSTOP @mmhromeo @HookAndLateral @johncusack @CNNPolitics Definition of spineless Hollywood:… https://t.co/oiGC19SCHg
philadelphia,Philadelphia,RT @RingsideWorld: This Friday! Announced for @KamikazeProUK 4th Anniversary #Birmingham is @TheFlipGordon vs @KayJutler Tickets https://t.…
seattle,"South of Seattle, WA(kanda)","RT @JuddLegum: OK, but the problem with Trump's tweet is not that it needed to be fact-checked. https://t.co/7qtLWD3p6Z"
denver,"Denver, CO","Tech roundup: Mitisek to new startup, GutCheck adds new execs and more https://t.co/xjJ8Jvj8rI https://t.co/7rz0zukEUK"
denver,"Denver, CO","@Submit2thePope Oh, yeah that would do it"
boston,"Boston, MA",RT @paulkrugman: Remember when it was a scandal because Obama wore a tan suit? https://t.co/oC6mQ2DP34
chicago,"Chicago, IL",Who/what inspires you? Go there. STAY there!
miami,"Miami, FL",Indignación en TV #argentina por socióloga chavista que afirmó “no hay presos políticos en #Venezuela”… https://t.co/CgJGhIEcof
philadelphia,"Philadelphia, PA","June is #Reentry Awareness Month
https://t.co/8EYY2Ia9jn https://t.co/YuCZ8xN8cx"
detroit,"Detroit, MI",@lukewithroses Co co co co
los angeles,"Los Angeles, CA","RT @ArianaGrande: See you tomorrow, Rio ☁️ @ Rio de Janeiro, Brazil https://t.co/VOQDj56D16"
houston,"Houston, TX",RT @BassettUS: Kicking up our feet in a great room done right. (Featuring our Designer Comfort Sofa!) https://t.co/0rqcY8ifUU
denver,"Denver, CO",Check. Check. Check. Check. Check. https://t.co/zQbVjycHFu
los angeles,Los Angeles CALIFORNIA,Essential survival skills: Health Ranger demonstrates how to connect or repair almost anything using BALING WIRE… https://t.co/JsFGeqvUjn
atlanta,"Atlanta, GA.",Megapolis https://t.co/rKcrdpHS0x
houston,"Houston, TX",@SeanJackYourBod @WolvesWallSt This is what it takes to learn. Keep ur head up bro. I'm sure this will be the last… https://t.co/et9pXeRKkI
atlanta,"Atlanta, GA","I found the end of eBay. After all that searching, it's lead me to this. https://t.co/nvWS89nbGx"
philadelphia,"Philadelphia, PA","#NBA Wire: Mexico vs. Germany score, highlights, live updates: How to watch Confederations… https://t.co/NKfijEsyJW https://t.co/nLngwiYXe2"
houston,"Houston, TX",#NFL Wire: Vanderbilt suspends three players involved in shooting incident at a Target https://t.co/KNLs9wpMiA https://t.co/ylksDZ8MHq
houston,"Houston, TX",LIFE https://t.co/KkTSq0PDZA
houston,"Houston, TX",RT @gaharahd: for 30$ a month I will tell you how godly ginzura is every single day actually no for free
miami,"Miami, FL","#News via #NYTimes \"Once a Model City, Hong Kong Is in Trouble\" by KEITH BRADSHER https://t.co/F6pmZrxceP https://t.co/xAmrpx30pJ"
chicago,"Chicago, IL",RT @leahmarinaaa: Just won sound lounge for Third Eye Blind ❤️ thanks @101WKQX 😍
houston,"Houston, TX","where i buy it from it's still 99 cents, sis what u doing 🤦🏾‍♀️ https://t.co/NL8eVbFqgk"
houston,"Houston, TX",This week's blog discusses the School of Christian Thought at HBU. @HoustonBaptistU #AHigherEducation… https://t.co/9w4iyXtOBt
chicago,"Chicago, IL","RT @juanmadaza9: Pls 10 rt y @DarkGives #DarkisLegit #DarkGen me da una cuenta de netflix
Pls 10 rt and @DarkGives #DarkisLegit #DarkGen gi…"
boston,"Boston, MA",https://t.co/0GGCyhOkHW
boston,"Boston, MA","@DavidCigam @stephblair12 @Liam_A_Smith @CNNPolitics Oh, shaddup already with the damn fake news bull. There's only… https://t.co/3iYARHpTJp"
dallas,"Dallas, TX",RT @McJesse: I photoshopped a flesh-light into the background of this photo please RT so one day it accidentally get's used in a…
detroit,"Detroit, MI",RT @bianncarraines: this is the hardest decision ever 😩😩 what color should I get my nails?
los angeles,"Los Angeles, CA","| Tune in today on @trakliferadio | DL the new mobile app 📲
.
. 
#trakliferadio #traklife… https://t.co/f0SL8ht8En"
seattle,"Seattle, WA",RT @somecrazyness: the US has a long way to go https://t.co/UNmDDlwfql
los angeles,Los Angeles,RT @IowIitf: 31. KEHLANI DESERVES MORE ATTENTION. Her last album was fire and she doesn't get enough recognition because y'all d…
chicago,"Chicago, IL",RT @jchaltiwanger: Republicans expressing shock over Trump's Mika tweet are full of it. You endorsed a man who bragged about sexual assault…
atlanta,atlanta,"RT @PrincessNedji: Stay pretty, drink water, dress well, stay educated, get that money 💕"
boston,"Boston, MA","@bterlson @littledan @jaffathecake this is one of my fears, it's a bit of FUD, but it happens. I'm glad Mozilla is… https://t.co/qzU1z2ZpYt"
new orleans,New Orleans,"@NewsCarolyn We're supposed to be off here at 400 Poydras, but I don't think it's happened yet. @EntergyNOLA should… https://t.co/my9twbtnwR"
seattle,"Seattle, WA",Never thought I'd be running with frozen raspberries across a PCC parking lot on a Thursday morning
los angeles,"Los Angeles, CA",RT @urmomscrush: my future child better be funny af bc im not spending 18 years fake laughing in my own house
miami,Miami Fl,I wish i had friends to go do our nails together and go eat :(
chicago,"Chicago, IL, USA","RT @SarahLerner: I hate misogyny, but I love that Roger Stone got so caught up in his that he made this unforced error. https://t.co/RKVPcG…"
dallas,"Dallas, TX",RT @2Isavage: that respect shit goes both ways
seattle,"Seattle, WA","\"Whoever has anything to say to me, feel free\" - Jimmy Butler gives out his phone number, tells critics to call him (ESPN)"
chicago,"Chicago, IL",RT @G7Cecret: 777 Likes https://t.co/lBCy8kOHOf
los angeles,"Los Angeles, California, USA","https://t.co/k2O6Usaczs in this New Shenandoah/Silver Bluff home centrally located to Coral Gables,Coconut Grove,Dow"
detroit,"detroit, michigan","RT @OfficialWith1D: VIDEO || 

Interviewer : Who's the best to go out for a big night with?

Niall : Louis

https://t.co/PVDihYdwaw"
houston,"Houston, TX","RT @GrahamCookeBBH: If you're in a good place but still not seeing an increase, it's time for an upgrade. Allow the Holy Spirit to provoke…"
boston,boston,@ariunuhs @yellowdiggs @DaveedDiggs ELISKA https://t.co/Mx4GIAeDcs
los angeles,"Los Angeles, California",@drbrain @tarah @ln1draw Or by encouraging TOO MUCH communication!  I write s**t code because every five minutes I'… https://t.co/36DajFJwew
atlanta,"Atlanta, GA",RT @RodriguezThaGod: Melanone. https://t.co/3mNWOue4Sp
seattle,Greater Seattle area,@Seattle_Places I do!
los angeles,Los Angeles,I'm cleansing!
miami,"Orlando, FL / Miami FL",RT @hsw501: https://t.co/5eZHnzhn1r
chicago,Chicago,"Next month! ✌️
Photo by Marisa KM!
#absolutelynot #absolutelynotband #tour https://t.co/SoAT6mtej0"
atlanta,Atlanta,&lt;&gt;  https://t.co/fLzBgSpjZj
dallas,"Dallas, Texas",@NielsenCurrent Most famous people call paparazzi to let them know where they'll be
philadelphia,"Philadelphia, PA",RT @LauraMorrone5: E X H A U S T I O N
chicago,Chicago-area,"RT @DennyBurk: \"Any day now, they’ll kill Charlie Gard. But it’s in his own best interest. Don’t you see?\" @NRO @iptuttle  https://t.co/jqh…"
boston,"Boston, MA","This #job might be a great fit for you: Store Manager - MA, Danvers BJ's - https://t.co/eaWa9FePIw #Retail #Danvers, MA #Hiring"
seattle,"Seattle, WA",I loved the flat edge on the iPhone 4. So much so I almost got a 6SE instead of waiting for a 7. https://t.co/ZrZ4cx6RAH
los angeles,"Los Angeles, CA","RT @spotifybizzle: retweet for 120 free follows, only if you have my notifications on, 5mins🌽"
houston,"Houston, TX",RT @1hfDax: @justicejasmine Fine ass
atlanta,"Atlanta, GA","RT @j_c_fitz: @MinnPatriot Shouldn't the president have something better to do? He knows he won, right? Why waste time on vindictive tweets?"
denver,"Denver, CO","RT @COSucceeds: \"If we want successful students we need engaged students\" -@slaband on work-based learning. @AlexCEICarter @edinitiativeco…"
houston,"houston, tx",@oinkkle @BohoOutfitters @dstaceyann Y'all throwing shade @awweena 👀
los angeles,Los Angeles,"RT @ChrisMurphyCT: Many Republicans will condemn this tweet in strong moral terms. 

Then they will spend rest of day trying end insur…"
boston,"Boston, MA",RT @davharris: .@Amazon just signed a big lease in Boston https://t.co/CL5QgA97K0 via @BosBizCatherine
chicago,Chicago,https://t.co/pNgv6BUMZy
chicago,"Albany Park, Chicago",@DJ_Pamias Lol
houston,siz dünyalı biz Houston'lı,RT @HouRocketsTR: Best backcourt 🚀🔥 https://t.co/juBfHpg9NP
miami,Miami,Back to Roses when I'm in DC in October.  Although with you and the missus lemme set up a GoFundMe for the bill https://t.co/NJPUkGlxyM
atlanta,"Atlanta, GA",halloween countdown: 124 days!!
philadelphia,Philadelphia/NYC,or lack thereof https://t.co/czCQMexgSU
los angeles,"Los Angeles, CA",https://t.co/BvbLdc3cW5
denver,"Denver, Colorado",RT @lPvxbxILeZsk0e6: hale Ates Gibi Yaniyorum Sicak Bir Gece Icin Bir Telefon uzakliktayim #izmirescort #escortizmir ☞ 535  267  01 46 http…
dallas,"Dallas, TX",I posted a new video to Facebook https://t.co/udizpJotoL
detroit,"Detroit, MI","Why Kanan tell the son \"whatever they saying your daddy did, he did that shit\" 😂😂😂😂😂😭😭😭"
chicago,"Chicago, IL",How To Close and Recruit Your Online Leads #OnlineLead #Recruiting Script #MLM https://t.co/uBhzDefKhu https://t.co/VLkS2pAi7X
chicago,"Chicago, IL",RT @Aint_thatjay: Sometimes I think I'm just way too nice to people
philadelphia,"Philadelphia, PA",Here’s my answer: No. https://t.co/gKmYzkaEfl
miami,"Miami, Florida","😬#Repost @despiertamerica (get_repost)
・・・
Hoy en #SinRollo la visita de @raqueneloficial  junto… https://t.co/y5HPK9wy6u"
philadelphia,"Philadelphia, PA",@ThePitcherList Thanks!
atlanta,"Atlanta, Ga",RT @Stan_AKA_TheMan: Wassup J Coop
detroit,"Detroit, MI 🛫🛬 Las Vegas, NV",RT @socali_xvi: Just Making Vibes For All The Women Across The World https://t.co/Bcu3BM7HbC
atlanta,"Atlanta, GA",@instagram @ContinuumVegas1 @Continuum_LA @Defeuphoria 😍😘
dallas,"Dallas, GA",-  https://t.co/VxnsW7664F
boston,juniormadrileño de boston,"RT @SerghioEnrique: @YFERLEYHR @rcnradio @EnriquePenalosa Desde el punto de vista de las grandes elites, acá en Colombia ser pobre es un cr…"
atlanta,"Atlanta, GA",We can all benefit from motivational thought leadership. @Entrepreneur shares a few great quotes on motivation.… https://t.co/5tmGCwX1p7
chicago,Chicago Over Everything,Not a huge Vans fan. But these are nice https://t.co/ql84tFQqQq
houston,"Houston, TX","@14urielespinoza say no more  , ya nos vamos"
dallas,"Dallas, TX",@realDonaldTrump  https://t.co/kOlg0GK6Pj
los angeles,"Los Angeles, CA",RT @johnlegend: America elected a very shitty person to be President
los angeles,LOS ANGELES,คุ้นๆว่าก็มีคนใช้เมจนี้แล้ว...
boston,Boston / Worcester Mass,😿😿 https://t.co/dpzOG9XjPO
chicago,Chicago,Exhibit number 6789 that the GOP disrespects women and will excuse any garbage thing Trump does. https://t.co/k5Omg0ZBlC
denver,"Denver, CO",@BriannaShrum This is me regretting not getting a 3 day pass https://t.co/PxLOfDPQkh
houston,"Houston, TX","AHHHHH I want this! Sports Valentine Greeting Card, I Love You More Than Green Bay Loves Football, A https://t.co/TJM6XpMUfn"
miami,Miami,"RT @lvl13charlatan: #HeterosexualPrideDay: brought to you by the people who can't stop asking, \"Why isn't there a white history month?!\""
los angeles,"Los Angeles, CA","RT @SimpsonsQOTD: \"Mom, they're professional athletes,
they're used to this sort of thing. It rolls right off their backs.\" https://t.co/Ch…"
boston,Roxbury Boston,RT @OfficiallyIce: I’ve always said Em has the better verse but it wasn’t a washing.  https://t.co/OMLL8OGHa5
seattle,"Seattle, WA",Lil Pump action shotgun in his mouth? seems like a good dude 😂 https://t.co/w0DRQ8WAsW
detroit,Grew up Detroit Herman Gardens,@Slate While I'm disgusted by @realDonaldTrump tweets both are being extremely unprofessional and childish. Mika's… https://t.co/Vn3zbs32RG
los angeles,"Los Angeles, CA","RT @SsBlose: This isn't even funny, I got anxious thinking about it. https://t.co/TQilCGZsLR"
chicago,"Chicago, IL","RT @essiebaybiee: Let's let the \"old shit\" remain old shit..."
boston,"Boston, MA",Support and contribute to the campaign of the man who's going to kick Paul Ryan out of Congress. #IronStache https://t.co/sL7Yfo4FkO
detroit,Detroit,@detnewsRodBeard now watch 'ol #proud #Detroit w/ no #humility choose the bad deal because people don't look like t… https://t.co/Y9Wc08EKTa
chicago,"Chicago, IL",@DoctaSlick #whoa
seattle,Seattle,People have been making some pretty rad collages with my pastedapp sticker pack. But this one by… https://t.co/V8yJuq1nHr
chicago,"Chicago, IL",RT @teodanica: Oh bloody hell. Look what memories fb dredged up. Siiiiiigh. https://t.co/VBf4e76KEQ
houston,"Houston, TX","RT @gerryc02: Crop top skirt set

Sexy and classy ladies

Shop:https://t.co/30lLkwInYb

Use code NEAT for 10% off https://t.co/IngWTTWpUH"
new orleans,"New Orleans, LA",never understood why god allow these type of people to still be alive on earth https://t.co/6xtMeu4fpe
atlanta,"Atlanta, GA",RT @djmsquared: 🚨🚨TONIGHT SPECIAL EVENT AT @180downtown @amwaycenter w/ @hpnotiq @tgainesent @joeydigital on top… https://t.co/5xM4OpK4XM
los angeles,"Los Angeles, CA",RT @TCraw_: Yeah we do all that and then y'all make us look dumb as fuck lol https://t.co/eJAAZg78fz
dallas,DALLAS TEXAS USA,"For more info... https://t.co/qRRbGiwLZ1

#WindRestrictor #cadillacxlr #Cadillac #Caddy #gmofficial #gm #automotive… https://t.co/dGmttrXHQ6"
atlanta,Somewhere eating in Atlanta.,@atlantasfaith Faith w/o work is dead. Yes it is 😉
detroit,"Detroit, MI",RT @Cannavibez: That one friend always comes clutch!! 🙌🏼🔥 🍃 https://t.co/7e3uDi5y82
los angeles,"Los Angeles, CA",@iHeartRadio c'mon guys day 3 of internet steaming being down! #fail
houston,"Houston, TX",RT @Evaajoli: Different females bring out different results in a nigga &amp; we are not the same sis 😂
houston,"Houston, TX",@espn  https://t.co/gTQjqkMZ9x
houston,"Houston, Texas","Motor Vehicle Incident - E030, A015 - N Loop E - 11:44 - https://t.co/k7VDeY2SVm"
los angeles,Los Angeles and Chicago,"RT @ericgarland: For those who still support Trump, we are nearing the point where neither Americans nor the world will forgive you."
los angeles,Los Angeles,"Not all our @BigMuseTeam experiences take place in a space this beautiful, but the experience we create for leaders… https://t.co/V0CHzg9SX5"
los angeles,"Los Angeles, CA","@tmarsenburg21 If theyre already better than you and you're rebuilding, it doesnt matter even more. Spite for PG &amp;… https://t.co/TgpchRtGBl"
chicago,"Chicago, IL",Watching the pilot of #TheOffice @johnkrasinski
chicago,Chicago,RT @HollyConrad: Hawk Walk at the @ashfordcastle School of Falconry! His name is Wyld❤️ 🦅🐭 https://t.co/DuU3eEuTfm
chicago,Chicago,"@mehtastic @TylerIAm If Knicks called offering Melo straight up for Wiggins, Minny would hang up the phone."
houston,"Houston, TX",RT @BlvckGrip: Y'all niggas got any brea.....Nvm https://t.co/3bSLbruE1A
chicago,Chicago,Because niggas talk all that shit about not dating a woman with kid(s) but your mama was a single parent...I don't get it 🤔
philadelphia,"Philadelphia, PA","RT @MarcusC22973194: Ms Haley, this is not a good thing. https://t.co/P0TPJakP7W"
dallas,"Dallas, TX",Employees and enterprises need systems that work everywhere they are https://t.co/1rl0Cytw9v
atlanta,Atlanta,-  https://t.co/Z0pcprXqNq
atlanta,Atlanta,(*^_^*)(T_T)/~~~ https://t.co/hHMpR9ntkz
los angeles,Los Angeles,They're making Heterosexual Pride Day a thing? I am straight &amp; I try not to curse when tweeting from work but honestly fuck straight people.
houston,"Houston, TX",🤦🏽‍♀️🤷🏽‍♀️ https://t.co/GcO5doEkSX
philadelphia,"Philadelphia, PA",RT @pnbrock: Ya MCM he a dickrida keep pullin out his camera lol
houston,"Houston, TX",Ready to upgrade? Impeccable 2 BD/ 2 BA in Houston has it all. Call/text/DM me!  https://t.co/bYTZdrzJzY https://t.co/xWCaKArOtk
los angeles,"Los Angeles, CA",RT @ProWaveMusic: @RexKudo has 2017 by the board. 🏄🏼  What's next from this young up and coming producer? #MakingWaves https://t.co/iLNxqru…
atlanta,Atlanta ga,RT @Symyah: House party Monday ‼️ DM FOR LOCATION 🔥🔥🔥 https://t.co/smm7Mib7LA
miami,"Miami, FL",RT @ruhtyt: Serena Williams sends message to top rivals #SerenaWilliams... #SerenaWilliams https://t.co/TxZ7BBTpcL #serenawilliams
new orleans,13th & New Orleans,RT @TheBloodShow: I don't kare for a body kount but I do kare if you've fukd somebody I was @ Odds with if this makes sense https://t.co/5r…
boston,"Boston, MA",RT @perlberg: this is a masterpiece https://t.co/GdpKEPe7PV
los angeles,"Los Angeles, CA","RT @actualAidenn: once you find that one person that makes you happy in a way that no one else can, don't ever let them go &amp; never ever tak…"
houston,"Houston, TX 🤘🏼",Eat with the same niggas you starve with
houston,HOUSTON to San antonio,"RT @officialwcc: Fresh car, fresh paint @BASF 👍🏻 #RMPaint #Lamborghini #wcc https://t.co/X6ePMs7xL7"
new orleans,"New Orleans, LA",@theneedledrop My reaction when you gave MOTU a light 6
los angeles,"Los Angeles, CA",RT @MissJaylaan: I'm going to college not knowing if I'll even have a job when I graduate and bitches on instagram getting rich sell…
dallas,dallas TX,@jamespulsecom @ThaHustleMan330 @JDfromNY206 Exactly
new orleans,New Orleans,"RT @imillhiser: In retrospect, we should have let the woman who won the election be president."
seattle,"Seattle, WA",RT @clarkgregg: Congratulations @AgentsofSHIELD on hitting 1 million exceptional followers.
miami,Miami 🌴• DC/MD •The World🌍,Me soon as i slide into Hov listening party https://t.co/z91MxAbJIy
chicago,Chicago,RT @chasityrenaexo: but can we talk about how clean he bounced that soap off the wall https://t.co/9kmitX8Nlb
detroit,"Detroit, MI",@Crysiii_17 https://t.co/GyxHcFIyNs
los angeles,"Los Angeles, CA",RT @UNSTANJACOB: @camerondallas Follow everyone who retweets this!
atlanta,"Atlanta, GA",Thanks for the recent follow @riisllc @RealBlaineDavis @AndreiBaklinau! Happy to connect :) have a great this week
atlanta,"Atlanta, GA",They certainly weren't. Too bad the only dude who wanted to play in NY couldn't recruit and ruined it all because i… https://t.co/DzNx8QB26k
seattle,"Seattle, WA",What is a leader? What is leadership? https://t.co/DIxYThu0YW
seattle,SEATTLE -- SEOUL,Thankful.  Anything is possible if the work is put in.  We'll continue to work hard and bring… https://t.co/b1spB4EdCN
miami,MIAMI,"RT @_marciliosa: Racionais Mc's - A Vida é Desafio
https://t.co/ck4pLTOEWl"
detroit,"Detroit, Michigan, USA",Meet Mark Zachos–– @DGTechnologies founder who says #SAEDetroit is a great way to exchange technical ideas… https://t.co/xxfxUM7rwU
atlanta,East Atlanta,"Now that I think about it, @thetyaisha  we deadass outsmoked everybody INCLUDING the plug. We going to Rehab bitch 🤦🏽‍♀️😂"
miami,Miami,"Rescatan figura de Miralles, el español más cercano a George Washington - https://t.co/tXmTvvCTiy https://t.co/sUbHEKSEMm"
atlanta,"Atlanta, GA",Really? You're surprised by this guy's reprehensible tweets? https://t.co/hbBi0nuxFx
atlanta,"East, Atlanta","RT @VICELAND: You: How \"high\" do you plan on getting for #weedweek?
Us: https://t.co/dH9xyyZOZO"
chicago,"Chicago, IL",RT @handsomestghost: maybe i'll wear something cheerful today...nah.
los angeles,"Los Angeles, CA",Buena pregunta. Aunque ahí pueden ser clave Vela y Lozano de cambio https://t.co/qOOrHmP9D5
los angeles,"Los Angeles, CA","Que regrese mi amada 👸🏻 
Porque tu no eres tu,
Imitadora 🐍 https://t.co/OhSZPG48gW"
miami,Miami,RT @MoneyBaggYo: Who's around u and who's down for u are two different things 📌
miami,MIAMI,RT @P1STEEZY: 7 OF YOU LISTEN TO THIS SPEEDY SPEEDY FIRE FIRE SO STEEZY GET HYPE ABOUT 1k IN 10 DAYS
los angeles,"Los Angeles, CA",My Vietnamese girlfriend giving me a blowjob #1 https://t.co/MpnEwdA6ry
los angeles,"Los Angeles, CA","@theyoungabigail @eclipticdjh @fiumidiparole_ @chasestrangio No, I have plenty of friends, just none of them have a disability"
denver,"Denver, CO",RT @TheOnion: Theoretical Scientists Gather For 35th Annual Symposium To Try To Determine How Gas Nozzle Knows When Tank Is Full…
houston,"Houston, TX",RT @brownsuga_marie: Be with a nigga who make sure you straight even if he mad at you.
atlanta,sitting gorgeously in Atlanta✨,RT @xblvckdiamond_: mansion elan gone be littttt 4th of July .. seems like issa movie 🎥👀🤷🏽‍♀️
miami,"Miami, FL","RT @oksvdney: me: \"i swear i'm not fallin for this niggas shit anymore\"
him: \"i miss you\"
me: https://t.co/XsSUPNVTAZ"
dallas,Fort Worth • Denton • Dallas,RT @sinfulbluu: I'm too goofy for this shit. Be in that bih flying around like Peter Pan 🤦🏽😭. https://t.co/hBEUEbiRLz
seattle,Seattle & São Paulo,RT @SRrocksDOTcom: Tune in #NowPlaying BLUE HELIX - Runaways on https://t.co/fre8FchYnC #Quakertown #iHeart #iTunes #CRNetwork
