city,location,text
denver,"Denver, CO",Looking for a getaway? Check out this condo in Keystone Colorado! Mention Herban Underground and save 10%.… https://t.co/eCn7YXU7Ba
los angeles,"Los Angeles, CA",RT @Gspittah: How can someone be mad at someone for improving their life?
denver,"Denver, CO",RT @Gspittah: How can someone be mad at someone for improving their life?
houston,"Houston, TX",RT @Evaajoli: Different females bring out different results in a nigga &amp; we are not the same sis 😂
chicago,Chicago,"RT @baratunde: As people respond to latest abusive presidential tantrum, remember: the @GOP embraced, funded, and elevated this bad man kno…"
atlanta,united streets of atlanta,@jadler2015 he hasnt touched anything close to those numbers in 07 with moss/welker but guess what it doesnt take away anything either
los angeles,"Los Angeles, CA",😂
miami,"Miami, FL",RT @lolpicscs: #lol https://t.co/AFcDXUP03h
seattle,Seattle,"RT @RealJack: If media wants President Trump to treat them like the royalty the Obama Administration treated them, maybe they should cover…"
los angeles,"Los Angeles, CA",RT @TonyDungy: MLB umpire John Tumpane demonstrated the love of Christ by reaching out to save the life of a stranger. Awesome sto…
chicago,"Chicago, IL","RT @SenGillibrand: Since our President clearly has a problem with women, let's send more to Congress. Women of America, you need to run! RT…"
boston,"Boston, MA",Finally i have my jacket your jacket is perfect pls like this in instagram too name is bayley.fanboy @itsBayleyWWE… https://t.co/Y7n0qSmkjs
denver,"Denver, Colorado USA","RT @oxley264: RAY HARRYHAUSEN Born today 1920
Jason and the Argonauts 1963•Mysterious Island 1961•Clash of the Titans 1981
Sinbad…"
atlanta,"Lagos-Atlanta, GA","RT @OsasCruz: Instagram SlayQueens Come and See Them Dragging Una MCM 😭😭 😱
Phyno x Ice Prince x Kcee Vs Hushpuppi https://t.co/78rSD1fPAI"
new orleans,"New Orleans, LA","RT @christinawilkie: Wow is right. A Republican House committee is moving to strip Trump of authorization to use military force, which h…"
los angeles,"Los Angeles, CA",RT @OfficiallyIce: Kingdom Come wasn’t as bad as people try to make it out to be either...
atlanta,"Atlanta, GA",RT @GreyMatterrs: This the way your girl looks at you when you smiling at your phone https://t.co/v21jT1uhGK
atlanta,Atlanta,RT @BleacherReport: Beast Mode training on the beach while wearing boots. 🔥 (via iamluisbadillojr/Instagram) https://t.co/WpV6c26CyP
chicago,"Chicago, Illinois, USA","Los demócratas aseguran que los republicanos \"nos están sentenciado a muerte\" https://t.co/LfyGpBVGGT"
atlanta,Atlanta/ Mcdonough Ga,@Morning_Joe show us her before and after shots https://t.co/eP54sglJHd
dallas,"Dallas, TX",RT @Iordthisdick: ʸᵉᵃʰ ᶜᵃⁿ ᶦ ᵍᵉᵗ ᵃ ᵘʰʰʰʰʰʰʰʰʰ one boneless pancake https://t.co/c0zFNjBUzu
houston,houston,"RT @puppiesandanime: MIDORIYA, MY BOY https://t.co/zUADay5lwr"
atlanta,Atlanta,"RT @LindseyGrahamSC: Mr. President, your tweet was beneath the office and represents what is wrong with American politics, not the greatnes…"
los angeles,"Los Angeles, CA",I may have a concussion 🙃
miami,"Miami, Florida",¡Devaluación roja! ¿Cuánto vale el Bolívar en la frontera colombiana? - https://t.co/VWfTSn5d5v #EVNews #Venezuela
boston,"Boston, MA",This spacious home for sale in Hull is right across from Nantasket Beach: https://t.co/tApFgXTX9h https://t.co/Nm9YmZH4On
philadelphia,"Philadelphia, PA","@Cvmeron13 yes, seems valid. This is chart of all of his fastballs this season to LHH. https://t.co/Mz54eIhOyE"
